DATE,TB3MS
1999-01-01,4.34
1999-02-01,4.44
1999-03-01,4.44
1999-04-01,4.29
1999-05-01,4.50
1999-06-01,4.57
1999-07-01,4.55
1999-08-01,4.72
1999-09-01,4.68
1999-10-01,4.86
1999-11-01,5.07
1999-12-01,5.20
2000-01-01,5.32
2000-02-01,5.55
2000-03-01,5.69
2000-04-01,5.66
2000-05-01,5.79
2000-06-01,5.69
2000-07-01,5.96
2000-08-01,6.09
2000-09-01,6.00
2000-10-01,6.11
2000-11-01,6.17
2000-12-01,5.77
2001-01-01,5.15
2001-02-01,4.88
2001-03-01,4.42
2001-04-01,3.87
2001-05-01,3.62
2001-06-01,3.49
2001-07-01,3.51
2001-08-01,3.36
2001-09-01,2.64
2001-10-01,2.16
2001-11-01,1.87
2001-12-01,1.69
2002-01-01,1.65
2002-02-01,1.72
2002-03-01,1.79
2002-04-01,1.71
2002-05-01,1.73
2002-06-01,1.70
2002-07-01,1.68
2002-08-01,1.62
2002-09-01,1.63
2002-10-01,1.58
2002-11-01,1.23
2002-12-01,1.19
2003-01-01,1.17
2003-02-01,1.17
2003-03-01,1.13
2003-04-01,1.13
2003-05-01,1.07
2003-06-01,0.92
2003-07-01,0.90
2003-08-01,0.95
2003-09-01,0.94
2003-10-01,0.92
2003-11-01,0.93
2003-12-01,0.90
2004-01-01,0.88
2004-02-01,0.93
2004-03-01,0.94
2004-04-01,0.94
2004-05-01,1.02
2004-06-01,1.27
2004-07-01,1.33
2004-08-01,1.48
2004-09-01,1.65
2004-10-01,1.76
2004-11-01,2.07
2004-12-01,2.19
2005-01-01,2.33
2005-02-01,2.54
2005-03-01,2.74
2005-04-01,2.78
2005-05-01,2.84
2005-06-01,2.97
2005-07-01,3.22
2005-08-01,3.44
2005-09-01,3.42
2005-10-01,3.71
2005-11-01,3.88
2005-12-01,3.89
2006-01-01,4.24
2006-02-01,4.43
2006-03-01,4.51
2006-04-01,4.60
2006-05-01,4.72
2006-06-01,4.79
2006-07-01,4.95
2006-08-01,4.96
2006-09-01,4.81
2006-10-01,4.92
2006-11-01,4.94
2006-12-01,4.85
2007-01-01,4.98
2007-02-01,5.03
2007-03-01,4.94
2007-04-01,4.87
2007-05-01,4.73
2007-06-01,4.61
2007-07-01,4.82
2007-08-01,4.20
2007-09-01,3.89
2007-10-01,3.90
2007-11-01,3.27
2007-12-01,3.00
2008-01-01,2.75
2008-02-01,2.12
2008-03-01,1.26
2008-04-01,1.29
2008-05-01,1.73
2008-06-01,1.86
2008-07-01,1.63
2008-08-01,1.72
2008-09-01,1.13
2008-10-01,0.67
2008-11-01,0.19
2008-12-01,0.03
