DATE,GS10
2000/1/1,6.66
2000/2/1,6.52
2000/3/1,6.26
2000/4/1,5.99
2000/5/1,6.44
2000/6/1,6.1
2000/7/1,6.05
2000/8/1,5.83
2000/9/1,5.8
2000/10/1,5.74
2000/11/1,5.72
2000/12/1,5.24
2001/1/1,5.16
2001/2/1,5.1
2001/3/1,4.89
2001/4/1,5.14
2001/5/1,5.39
2001/6/1,5.28
2001/7/1,5.24
2001/8/1,4.97
2001/9/1,4.73
2001/10/1,4.57
2001/11/1,4.65
2001/12/1,5.09
2002/1/1,5.04
2002/2/1,4.91
2002/3/1,5.28
2002/4/1,5.21
2002/5/1,5.16
2002/6/1,4.93
2002/7/1,4.65
2002/8/1,4.26
2002/9/1,3.87
2002/10/1,3.94
2002/11/1,4.05
2002/12/1,4.03
2003/1/1,4.05
2003/2/1,3.9
2003/3/1,3.81
2003/4/1,3.96
2003/5/1,3.57
2003/6/1,3.33
2003/7/1,3.98
2003/8/1,4.45
2003/9/1,4.27
2003/10/1,4.29
2003/11/1,4.3
2003/12/1,4.27
2004/1/1,4.15
2004/2/1,4.08
2004/3/1,3.83
2004/4/1,4.35
2004/5/1,4.72
2004/6/1,4.73
2004/7/1,4.5
2004/8/1,4.28
2004/9/1,4.13
2004/10/1,4.1
2004/11/1,4.19
2004/12/1,4.23
2005/1/1,4.22
2005/2/1,4.17
2005/3/1,4.5
2005/4/1,4.34
2005/5/1,4.14
2005/6/1,4
2005/7/1,4.18
2005/8/1,4.26
2005/9/1,4.2
2005/10/1,4.46
2005/11/1,4.54
2005/12/1,4.47
2006/1/1,4.42
2006/2/1,4.57
2006/3/1,4.72
2006/4/1,4.99
2006/5/1,5.11
2006/6/1,5.11
2006/7/1,5.09
2006/8/1,4.88
2006/9/1,4.72
2006/10/1,4.73
2006/11/1,4.6
2006/12/1,4.56
2007/1/1,4.76
2007/2/1,4.72
2007/3/1,4.56
2007/4/1,4.69
2007/5/1,4.75
2007/6/1,5.1
2007/7/1,5
2007/8/1,4.67
2007/9/1,4.52
2007/10/1,4.53
2007/11/1,4.15
2007/12/1,4.1
2008/1/1,3.74
2008/2/1,3.74
2008/3/1,3.51
2008/4/1,3.68
2008/5/1,3.88
2008/6/1,4.1
2008/7/1,4.01
2008/8/1,3.89
2008/9/1,3.69
2008/10/1,3.81
2008/11/1,3.53
2008/12/1,2.42
