DATE,PPIACO
1999-01-01,122.9
1999-02-01,122.3
1999-03-01,122.6
1999-04-01,123.6
1999-05-01,124.7
1999-06-01,125.2
1999-07-01,125.7
1999-08-01,126.9
1999-09-01,128.0
1999-10-01,127.7
1999-11-01,128.3
1999-12-01,127.8
2000-01-01,128.3
2000-02-01,129.8
2000-03-01,130.8
2000-04-01,130.7
2000-05-01,131.6
2000-06-01,133.8
2000-07-01,133.7
2000-08-01,132.9
2000-09-01,134.7
2000-10-01,135.4
2000-11-01,135.0
2000-12-01,136.2
2001-01-01,140.0
2001-02-01,137.4
2001-03-01,135.9
2001-04-01,136.4
2001-05-01,136.8
2001-06-01,135.5
2001-07-01,133.4
2001-08-01,133.4
2001-09-01,133.3
2001-10-01,130.3
2001-11-01,129.8
2001-12-01,128.1
2002-01-01,128.5
2002-02-01,128.4
2002-03-01,129.8
2002-04-01,130.8
2002-05-01,130.8
2002-06-01,130.9
2002-07-01,131.2
2002-08-01,131.5
2002-09-01,132.3
2002-10-01,133.2
2002-11-01,133.1
2002-12-01,132.9
2003-01-01,135.3
2003-02-01,137.6
2003-03-01,141.2
2003-04-01,136.8
2003-05-01,136.7
2003-06-01,138.0
2003-07-01,137.7
2003-08-01,138.0
2003-09-01,138.5
2003-10-01,139.3
2003-11-01,138.9
2003-12-01,139.5
2004-01-01,141.4
2004-02-01,142.1
2004-03-01,143.1
2004-04-01,144.8
2004-05-01,146.8
2004-06-01,147.2
2004-07-01,147.4
2004-08-01,148.0
2004-09-01,147.7
2004-10-01,150.0
2004-11-01,151.4
2004-12-01,150.2
2005-01-01,150.9
2005-02-01,151.6
2005-03-01,153.7
2005-04-01,155.0
2005-05-01,154.3
2005-06-01,154.3
2005-07-01,156.3
2005-08-01,157.6
2005-09-01,162.2
2005-10-01,166.2
2005-11-01,163.7
2005-12-01,163.0
2006-01-01,164.3
2006-02-01,161.8
2006-03-01,162.2
2006-04-01,164.3
2006-05-01,165.8
2006-06-01,166.1
2006-07-01,166.8
2006-08-01,167.9
2006-09-01,165.4
2006-10-01,162.2
2006-11-01,164.6
2006-12-01,165.6
2007-01-01,164.0
2007-02-01,166.8
2007-03-01,169.3
2007-04-01,171.4
2007-05-01,173.3
2007-06-01,173.8
2007-07-01,175.1
2007-08-01,172.4
2007-09-01,173.5
2007-10-01,174.7
2007-11-01,179.0
2007-12-01,178.6
2008-01-01,181.0
2008-02-01,182.7
2008-03-01,187.9
2008-04-01,190.9
2008-05-01,196.6
2008-06-01,200.5
2008-07-01,205.5
2008-08-01,199.0
2008-09-01,196.9
2008-10-01,186.4
2008-11-01,176.8
2008-12-01,170.9
